央视频道,#genre#
辽宁卫视,https://live.goodiptv.club/api/cqyx.php?id=liaoningHD
辽宁卫视,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000

安徽卫视,https://live.goodiptv.club/api/cqyx.php?id=anhuiHD
安徽卫视,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000

黑龙江卫视,https://live.goodiptv.club/api/cqyx.php?id=heilongjiangHD
黑龙江卫视,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000

广东卫视,https://live.goodiptv.club/api/cqyx.php?id=guangdongHD
广东卫视,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000

深圳卫视,https://live.goodiptv.club/api/cqyx.php?id=shenzhenHD
深圳卫视,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000

湖北卫视,https://live.goodiptv.club/api/cqyx.php?id=hubeiHD

吉林卫视,https://live.goodiptv.club/api/cqyx.php?id=jilinHD
吉林卫视,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000

山东卫视,https://live.goodiptv.club/api/cqyx.php?id=shandongHD

江西卫视,https://live.goodiptv.club/api/cqyx.php?id=jiangxiHD

河南卫视,https://live.goodiptv.club/api/cqyx.php?id=henanHD

河北卫视,https://live.goodiptv.club/api/cqyx.php?id=hebeiHD

甘肃卫视,https://live.goodiptv.club/api/cqyx.php?id=gansuHD
甘肃卫视,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000

重庆卫视,https://live.goodiptv.club/api/cqyx.php?id=chongqingHD
重庆卫视,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000

云南卫视,https://live.goodiptv.club/api/cqyx.php?id=yunnanHD
云南卫视,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000

贵州卫视,https://live.goodiptv.club/api/cqyx.php?id=guizhouHD
贵州卫视,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000

海南卫视,https://live.goodiptv.club/api/cqyx.php?id=hainanHD

影视频道,#genre#
CHC动作电影,http://219.140.210.177:4022/rtp/239.69.1.242:11094
CHC动作电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CHC高清电影,http://219.140.210.177:4022/rtp/239.69.1.241:11088
CHC高清电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CHC家庭影院,http://219.140.210.177:4022/rtp/239.69.1.243:11100
CHC家庭影院,http://111.20.35.103:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8

CHC高清电影,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8

CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8

峨眉电影,http://183.223.157.33:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0

1905电影,http://angtv.cn/test/1905.php

邵氏影院,http://mmitv.top/test/douyu.php?id=4246519
吃米滴虫,http://mmitv.top/test/douyu.php?id=315457
高分电影,http://mmitv.top/test/douyu.php?id=7254536
豆瓣高分,http://mmitv.top/test/douyu.php?id=8770422
漫威影院,http://mmitv.top/test/douyu.php?id=6140589
特辑电影,http://mmitv.top/test/douyu.php?id=3637778
粤语电影,http://mmitv.top/test/douyu.php?id=1226741
喜剧电影,http://mmitv.top/test/douyu.php?id=323876
恐怖电影,http://mmitv.top/test/douyu.php?id=218859
恐怖鬼怪,http://mmitv.top/test/douyu.php?id=1165374
童年阴影,http://mmitv.top/test/douyu.php?id=2935323
惊悚电影,http://mmitv.top/test/douyu.php?id=96577
粤语电影,http://mmitv.top/test/douyu.php?id=6566671
华语影视,http://mmitv.top/test/douyu.php?id=3928
神乐影视,http://mmitv.top/test/douyu.php?id=85894
冰冰影厅,http://mmitv.top/test/douyu.php?id=74374
刀刀影院,http://mmitv.top/test/douyu.php?id=747764
奶虫影院,http://mmitv.top/test/douyu.php?id=263824
